Track,Race,RaceDate,Time,Gait,Purse,TCR,FieldStrength,FieldSize,Below2.0_Count,Below3.0_Count,Below5.0_Count,Cluster_2.5to6_Count,Odds_SD,Top5_Range,Odds_Range,RaceType,CompetitiveClusterFlag,FavOdds,FavPostRTG_Fast,DominancePenalty,CompetitivenessIndex,LikelySecond_PP,LikelySecond_Horse,LikelySecondScore_Top,LikelySecondMatrix_Top3,Exacta,Exacta_12,Exacta_123,Exacta_Top4,Exacta_Top5,Exacta_Top6
M,13,2026-03-07,11:00 AM,PACE,10500.0,87.0,171.7,10,0,0,1,2,28.726,6.868,90.358,Wide Open,False,4.753,1.0,0.0,49.0,4,Warrawee Yankee,5.0,4(5); 5(3); 6(3),"1,5,6,3,7",,,"1,5,6,3","1,5,6,3,7","1,5,6,3,7,2"
M,14,2026-03-07,11:25 AM,PACE,8000.0,68.0,135.3,10,0,0,1,3,23.717,14.944,58.984,Wide Open,True,4.399,1.0,0.0,61.0,2,Rockin Roger,6.0,2(6); 7(4); 5(4),"3,6,2,7,8",,,"3,6,2,7","3,6,2,7,8","3,6,2,7,8,9"
M,2,2026-03-07,6:25 AM,PACE,11000.0,74.0,144.6,10,0,0,0,0,23.481,14.246,88.202,Chalk,False,6.908,1.0,0.0,20.0,5,Scott Onthe Rocks,4.0,5(4); 1(2); 4(2),"2,8,6,1,5",,,"2,8,6,1","2,8,6,1,5","2,8,6,1,5,4"
M,3,2026-03-07,6:50 AM,PACE,12500.0,82.0,163.1818181818182,10,0,0,0,0,28.276,7.098,88.314,Chalk,False,6.797,0.0,0.0,20.0,5,Wichita Lineman,3.0,5(3); 3(3); 4(3),"8,5,2,6,10",,,"8,5,2,6","8,5,2,6,10","8,5,2,6,10,7"
M,4,2026-03-07,7:15 AM,PACE,9500.0,80.0,152.3,10,0,0,2,2,32.976,7.885,90.38,Wide Open,False,4.731,1.0,0.0,54.0,2,Alta Blues A,5.0,2(5); 5(4); 3(2),"4,2,9,10,3",,,"4,2,9,10","4,2,9,10,3","4,2,9,10,3,5"
M,5,2026-03-07,7:40 AM,PACE,11500.0,76.0,149.1,10,0,0,2,2,35.44,4.379,90.813,Wide Open,False,4.298,1.0,0.0,54.0,5,Select Friday,3.0,5(3); 2(2); 6(2),"4,7,8,2,6",,,"4,7,8,2","4,7,8,2,6","4,7,8,2,6,3"
M,6,2026-03-07,8:05 AM,PACE,12000.0,82.0,162.11111111111111,9,1,1,1,1,17.356,14.388,61.589,Chalk,False,1.794,1.0,7.9,25.1,5,Shuffle Up Hanover,4.0,5(4); 2(3); 3(3),"7,9,8,2,3",,,"7,9,8,2","7,9,8,2,3","7,9,8,2,3,1"
M,7,2026-03-07,8:30 AM,PACE,10500.0,83.0,161.88888888888889,9,0,1,1,0,17.782,19.807,60.963,Chalk,False,2.419,1.0,0.0,21.0,5,Like A Shadow,6.0,5(6); 3(2); 1(2),"2,9,3,1,5",,,"2,9,3,1","2,9,3,1,5","2,9,3,1,5,4"
M,8,2026-03-07,8:55 AM,PACE,19000.0,90.0,176.77777777777777,9,0,0,2,4,23.124,11.763,59.369,Balanced Competitive,True,4.014,2.0,0.0,74.0,5,Water Sports Teen,4.0,5(4); 2(2); 8(2),"6,1,9,2,5",,,"6,1,9,2","6,1,9,2,5","6,1,9,2,5,7"
M,9,2026-03-07,9:20 AM,PACE,17500.0,91.0,176.875,8,0,1,2,1,18.41,9.221,61.072,Wide Open,False,2.311,1.0,0.0,34.0,4,Vandiemen Bluechip,6.0,4(6); 5(6); 3(4),"1,4,7,6,8",,,"1,4,7,6","1,4,7,6,8","1,4,7,6,8,2"
