RaceDate,SourceFile,Track,Race,Horse,PP,FormString,LayoffFlag
2025-11-22,HarnessSuite_2_6_FULL.csv,CNML,10,Chase Me Forever,6,353937X39-7-1,2UP
2025-11-22,HarnessSuite_2_6_FULL.csv,CNML,10,Bay Street Buddy,7,335311X641-5,2UP
2025-11-22,HarnessSuite_2_6_FULL.csv,CNML,10,Flying Officer,9,2-112532X5-3-3,2UP
2025-11-22,HarnessSuite_2_6_FULL.csv,CNML,11,Kiss My Bet,1,31-1112X37-73,3UP
2025-11-22,HarnessSuite_2_6_FULL.csv,CNML,11,Son Of A Beach,5,47-2723X16-12,3UP
2025-11-22,HarnessSuite_2_6_FULL.csv,CNML,11,Litizor,6,41-21-1111-41,3UP
2025-11-22,HarnessSuite_2_6_FULL.csv,CNML,11,Believe It Sea It,8,89-5-?X244-3?X1,2UP
2025-11-22,HarnessSuite_2_6_FULL.csv,CNML,11,Gonna Funku Up,9,544-25-531X65,3UP
2025-11-22,HarnessSuite_2_6_FULL.csv,CNML,12,One Hot Minute,6,461-3-1114-5-5,2UP
2025-11-22,HarnessSuite_2_6_FULL.csv,CNML,12,Matts A Mystician,7,61444X3735-7,2UP
2025-11-22,HarnessSuite_2_6_FULL.csv,CNML,13,Miso Hanover,1,5-29-868-?7-43,3UP
2025-11-22,HarnessSuite_2_6_FULL.csv,CNML,13,Worldsgreatestsin,2,27-36-6X5-71-2-7,2UP
2025-11-22,HarnessSuite_2_6_FULL.csv,CNML,13,Record High,3,146-7-37-865X7,2UP
2025-11-22,HarnessSuite_2_6_FULL.csv,CNML,13,Hes Still Watching,4,5?X3-41-73-34-4,2UP
2025-11-22,HarnessSuite_2_6_FULL.csv,CNML,13,Telluride Hanover,5,3212-6-21X6-51,3UP
2025-11-22,HarnessSuite_2_6_FULL.csv,CNML,13,Van Goghing Fast,7,234411213X7,2UP
2025-11-22,HarnessSuite_2_6_FULL.csv,CNML,13,Ivy Park,8,41-122X56-64-2,2UP
2025-11-22,HarnessSuite_2_6_FULL.csv,CNML,13,Blueline Bruiser,9,4-2-555-5-37-76,3UP
2025-11-22,HarnessSuite_2_6_FULL.csv,CUMB,1,Beach Director,1,7-617X54-4-8X73,3UP
2025-11-22,HarnessSuite_2_6_FULL.csv,CUMB,1,Sara Tancredi,5,3-77-545564-7,2UP
2025-11-22,HarnessSuite_2_6_FULL.csv,CUMB,2,Whoop Mass,5,62-38-510-1X6,2UP
2025-11-22,HarnessSuite_2_6_FULL.csv,CUMB,2,J-S For Justice,7,64X6386?X7-7-7,2UP
2025-11-22,HarnessSuite_2_6_FULL.csv,CUMB,2,Amalie Hanover,8,13563188-42,3UP
2025-11-22,HarnessSuite_2_6_FULL.csv,CUMB,3,Urania Blue Chip,6,34?5441-?-66,3UP
2025-11-22,HarnessSuite_2_6_FULL.csv,CUMB,3,Sleazy Rolls,8,218716?2-34,3UP
2025-11-22,HarnessSuite_2_6_FULL.csv,CUMB,4,The Short North,4,?3355444?-?,2UP
2025-11-22,HarnessSuite_2_6_FULL.csv,CUMB,4,The Short North,4,?3355444?-?,2UP
2025-11-22,HarnessSuite_2_6_FULL.csv,CUMB,4,Cutter Loose,7,8X616?23?2X2,2UP
