Track,Race,RaceDate,Time,Gait,Purse,TCR,FieldStrength,FieldSize,Below2.0_Count,Below3.0_Count,Below5.0_Count,Cluster_2.5to6_Count,Odds_SD,Top5_Range,Odds_Range,RaceType,CompetitiveClusterFlag,FavOdds,FavPostRTG_Fast,DominancePenalty,CompetitivenessIndex,LikelySecond_PP,LikelySecond_Horse,LikelySecondScore_Top,LikelySecondMatrix_Top3,Exacta,Exacta_12,Exacta_123,Exacta_Top4,Exacta_Top5,Exacta_Top6
HOP,4,2025-11-22,6:39 AM,PACE,14000.0,84.0,167.0,7,2,2,2,0,19.738,16.21,61.714,Chalk,False,1.669,2.0,12.69,5.3,3,Selina'S Choice,5.0,3(5); 5(4); 4(3),"6,7,4,5,1","6,7",,"6,7,4,5","6,7,4,5,1","6,7,4,5,1,2"
HOP,5,2025-11-22,7:02 AM,PACE,10000.0,79.0,151.0,7,1,1,2,2,24.783,31.451,61.71,Chalk,False,1.673,2.0,12.54,29.5,3,Too Infinity,5.0,3(5); 5(4); 6(3),"7,2,5,1,6",,,"7,2,5,1","7,2,5,1,6","7,2,5,1,6,3"
HOP,6,2025-11-22,7:25 AM,TROT,22000.0,96.0,188.0,5,1,1,3,2,7.936,19.056,19.056,Chalk,False,1.794,3.0,12.06,26.9,4,M-M'S Dream,4.0,4(4); 3(3); 2(2),"5,4,3,2,1",,,"5,4,3,2","5,4,3,2,1",
HOP,7,2025-11-22,7:48 AM,PACE,7500.0,69.0,132.11111111111111,9,0,0,2,2,35.034,12.981,91.746,Wide Open,False,3.365,2.0,0.0,50.0,4,Got The Grins,5.0,4(5); 5(4); 3(4),"7,6,8,9,4",,,"7,6,8,9","7,6,8,9,4","7,6,8,9,4,5"
HOP,8,2025-11-22,8:11 AM,PACE,6000.0,79.0,150.71428571428572,7,0,0,1,2,18.695,15.531,59.571,Wide Open,False,3.811,0.0,0.0,37.0,4,Empty Nest,5.0,4(5); 7(4); 2(4),"1,4,7,6,2",,,"1,4,7,6","1,4,7,6,2","1,4,7,6,2,5"
HOP,9,2025-11-22,8:34 AM,PACE,7500.0,65.0,125.5,8,0,0,1,1,36.567,18.15,90.712,Chalk,False,4.399,2.0,0.0,29.0,4,Skyway Reese,5.0,4(5); 5(4); 2(4),"7,5,8,6,2",,,"7,5,8,6","7,5,8,6,2","7,5,8,6,2,3"
M,1,2025-11-22,6:20 AM,PACE,8000.0,70.0,139.0,10,0,0,3,3,34.095,7.79,90.868,Balanced Competitive,True,4.243,2.0,0.0,71.0,4,Whimsical Journey,6.0,4(6); 6(5); 2(3),"5,8,1,9,6",,,"5,8,1,9","5,8,1,9,6","5,8,1,9,6,4"
M,10,2025-11-22,10:05 AM,PACE,9500.0,80.0,156.60000000000002,10,0,0,1,2,9.79,6.434,29.451,Wide Open,False,4.367,2.0,0.0,49.0,4,Barbossa Hanover,4.0,4(4); 5(4); 7(3),"6,9,4,8,2",,,"6,9,4,8","6,9,4,8,2","6,9,4,8,2,5"
M,11,2025-11-22,10:30 AM,PACE,12500.0,87.0,172.0,10,0,0,2,2,18.413,7.388,59.969,Wide Open,False,3.413,-1.0,0.0,54.0,6,Storm The Court,5.0,6(5); 5(4); 3(3),"9,2,1,6,3",,,"9,2,1,6","9,2,1,6,3","9,2,1,6,3,5"
M,12,2025-11-22,10:55 AM,PACE,9500.0,85.0,160.8,10,0,0,2,3,32.841,23.052,91.078,Wide Open,True,4.032,0.0,0.0,66.0,2,Moses,5.0,2(5); 6(4); 5(2),"8,5,6,4,3",,,"8,5,6,4","8,5,6,4,3","8,5,6,4,3,7"
